IRN,School District,County,Students Disability,Students EL,Students EconDis,Students White,Students Black,Students Latino,Students Asian,Students NativeAm,Students NatHaw,Students Multi,Total Students,PI,Property Tax per Student 2018,Property Tax per Student Mean
44966,Van Wert City,Van Wert,349,0,         912,        1840,          32,         121,0,0,0,          81,2084,85.75500000000001,117570.42836028007,106990.41960858442
44974,Wadsworth City,Medina,627,          13,         818,        4363,          38,         115,          42,0,0,         114,4682,100.29700000000001,163284.46733401035,138449.11493395205
44982,Wapakoneta City,Auglaize,385,0,        1100,        2950,          13,          58,          14,0,0,          47,3086,90.947,126247.70920888634,115055.34885339516
44990,Warren City,Trumbull,838,          33,        4799,        1983,        1920,         177,          11,0,           0,         713,4807,66.24900000000001,49597.99248209226,51506.209529097105
45005,Warrensville Heights City,Cuyahoga,345,          11,        1680,          21,        1630,          24,0,           0,0,          15,1692,67.87100000000001,166170.42553689782,173538.89991837033
45013,Washington Court House City,Fayette,406,          20,        1196,        1870,          62,          86,          31,           0,0,         138,2188,85.172,94231.44673290335,88116.82324376091
45021,Wellston City,Jackson,210,           0,        1338,        1295,0,          11,0,0,           0,          27,1338,81.315,81032.2661281304,71616.62750520938
45039,Wellsville Local,Columbiana,110,           0,         715,         620,          21,0,           0,           0,0,          68,715,83.099,66651.5093028642,57856.34209296591
45047,Westerville City,Franklin,2105,        1381,        5196,        8373,        3879,        1099,         713,          14,0,        1213,15300,90.85900000000001,170219.1507656399,158344.41724563914
45054,West Carrollton City,Montgomery,667,         229,        1997,        2181,         672,         321,          45,          11,0,         290,3524,76.168,112276.63961090597,103219.74568311984
45062,Westlake City,Cuyahoga,489,         159,         620,        2824,          76,         183,         201,0,          15,         172,3474,103.058,458685.5487702132,377232.05262841185
45070,Whitehall City,Franklin,504,         415,        2931,         868,        1520,         816,          27,0,0,         300,3544,68.672,64074.6968233457,65172.08870347993
45088,Wickliffe City,Lake,177,0,         537,        1004,         135,          43,0,0,           0,         105,1295,88.238,207280.38631993884,196846.23999679973
45096,Willard City,Huron,202,         214,         840,         993,          10,         445,0,0,           0,          40,1495,78.89200000000001,135947.5153059639,113907.45548407926
45104,Willoughby-Eastlake City,Lake,1215,         101,        2821,        6124,         912,         187,         157,          14,0,         528,7924,87.36200000000001,219213.6363107677,195491.27071125724
45112,Wilmington City,Clinton,363,          24,        1414,        2307,          85,         128,          21,0,           0,         219,2762,81.34400000000001,173565.17184415166,150176.76847724486
45120,Wooster City,Wayne,496,          40,        1492,        2954,          87,         131,          44,0,0,         282,3504,89.921,184353.9646542585,165214.30812773504
45138,Worthington City,Franklin,1400,         593,        2215,        6992,         935,         935,         523,0,0,         908,10302,94.71300000000001,206114.35440891594,193710.10069877765
45146,Wyoming City,Hamilton,169,          12,         126,        1517,         225,          47,          54,0,0,         154,2001,105.90100000000001,153439.6038618493,150100.93309474716
45153,Xenia Community City,Greene,650,          16,        3370,        3077,         428,          62,          18,0,0,         509,4099,81.098,147241.55491611923,136468.34106654485
